,title,authors,paper,best,theme
35,Estimation   and Comparison of the Impact of Single Airport Delay to the National   Airspace System using Multivariate Simultaneous Models,"Yu Zhang, Nagesh Nayak and Tony Diana",/icrat/seminarContent/pdf/Estimation and Comparison.pdf,,Decision Support Tools
36,Impact of US Airline Network Topology on Air Transportation Efficiency,"Tatsuya Kotegawa, Donald Fry, Ethan Puchaty, Daniel DeLaurentis",/icrat/seminarContent/pdf/Impact of US Airline Network.pdf,,Decision Support Tools
37,Throughput/Complexity Tradeoffs for Routing Traffic in the Presence of Dynamic Weather,"Jimmy Krozel, Joseph S.B. Mitchell, Anne Paakko and Valentin Polishchuk",/icrat/seminarContent/pdf/ThroughputComplexity Tradeoffs.pdf,,Environmental and Weather
38,Contribution of European Aviation on the Air Quality of the Mediterranean Region: A modeling study,"J. Kushta, S. Solomos and G. Kallos",/icrat/seminarContent/pdf/Contribution of European Aviation.pdf,,Environmental and Weather
39,Generating Day-of-Operation Probabilistic Capacity Profiles from Weather Forecasts,Mark Hansen and Gurkaran Singh Buxi,/icrat/seminarContent/pdf/Generating Day-of-Operation.pdf,*,Environmental and Weather
40,High-fidelity human-in-the-loop simulations as one step towards remote control of regional airports,"C. Mohlenbrink, M. Friedrich, A. Papenfub, M. Rudolph, M. Schmidt, F. Morlang and N. Furstenau",/icrat/seminarContent/pdf/human-in-the-loop.pdf,,Future Concepts and Innovative Ideas
41,Investigating String Stability of a Time-History Control Law for Airborne Spacing,Lesley A. Weitz,/icrat/seminarContent/pdf/Investigating String Stability.pdf,,Future Concepts and Innovative Ideas
42,Collaborative Rerouting in the Airspace Flow Program,Amy M. Kim and Mark Hansen,/icrat/seminarContent/pdf/Collaborative Rerouting.pdf,,Future Concepts and Innovative Ideas
43,Dynamic Allocation and Benefit Assessment of NextGen Flow Corridors,"Arash Yousefi, Ali N. Zadeh and Ali Tafazzoli",/icrat/seminarContent/pdf/Dynamic Allocation.pdf,*,Future Concepts and Innovative Ideas
44,Coordinating multiple traffic management initiatives with integer optimization,"Andrew M. Churchill, David J. Lovell and Michael O. Ball",/icrat/seminarContent/pdf/Coordinating multiple traffic.pdf,,Future Concepts and Innovative Ideas
45,An optimisation framework for aircraft operators dealing with capacity-demand imbalances in SESAR,LuÄ±s Delgado and Xavier Prats,/icrat/seminarContent/pdf/optimisation framework.pdf,,Future Concepts and Innovative Ideas
46,Spatial and Temporal Analysis of Enroute Traffic in NAS,Vivek Kumar and Lance Sherry,/icrat/seminarContent/pdf/Spatial and Temporal Analysis.pdf,,Future Concepts and Innovative Ideas
47,Estimation of Potential Conflict Rates as a function of Sector Loading,Akshay Belle,//icrat/seminarContent/2012/Author/AkshayBelle2/FINAL-378-cfp-Belle.pdf,,Future Concepts and Innovative Ideas
48,"Economic issues provokes hazardous landing decision-making by enhancing the activity of ""emotional"" neural pathways","Mickael Causse, Frederic Dehais, Patrice Peran, Umberto Sabatini and Josette Pastor",/icrat/seminarContent/pdf/Economic issues.pdf,*,Human Factors
49,Empirical Analysis of Air Traffic Controller Dynamics,"Yanjun Wang, Minghua Hu and Vu Duong",/icrat/seminarContent/pdf/Empirical Analysis.pdf,,Human Factors
50,Flight experience and executive functions predict flight simulator performance in general aviation pilots,"MickaÃ«l Causse, Frederic Dehais and Josette Pastor",/icrat/seminarContent/pdf/Flight experience.pdf,,Human Factors
51,An   automatic generation of metro-like maps to display Flight Routes for   Air Traffic Controllers: structure and color optimization,"Christophe Hurter, Mathieu Serrurie and Roland Alonso",/icrat/seminarContent/pdf/metro-like maps.pdf,,Human Factors
52,A participatory design for the visualization of airspace configuration forecasts,"Nicolas Saporito, Christophe Hurter, David Gianazz, Geraldine Beboux",/icrat/seminarContent/pdf/participatory design.pdf,,Human Factors
53,Predicting Controller Communication Time for Capacity Estimation,"Adan Vela, Erwan Salaun, Pierrick Burgain, John-Paul Clarke, Karen Feigh, Eric Feron, William Singhose and Senay Solak",/icrat/seminarContent/pdf/Predicting Controller Communication.pdf,,Human Factors
54,What kind of aviation infrastructure privatization is needed in China?,Wei Lu and Matthias Finger,/icrat/seminarContent/pdf/aviation infrastructure.pdf,,Prospective Studies and Economics
55,Capturing the Impact of Fuel Price on Jet Aircraft Operating Costs with Engineering and Econometric Models,Megan Smirti Ryerson and Mark Hansen,/icrat/seminarContent/pdf/Impact of Fuel Price.pdf,*,Prospective Studies and Economics
56,En route charges for ANSP revenue maximization,"Alessia Violin, Martine Labbe and Lorenzo Castelli",/icrat/seminarContent/pdf/En route charges.pdf,,Prospective Studies and Economics
57,"Bayesian Analysis of Accident Rate, Trend and Uncertainty in Commercial Aviation",Edwin A. Bloem and Henk A.P. Blom,/icrat/seminarContent/pdf/Bayesian Analysis.pdf,,Safety and Security
58,Stochastically and Dynamically Coloured Petri Net Model of ACAS Operations,"Fedja Netjasov, Andrija Vidosavljevic, Vojin Tosic, Mariken Everdij and Henk Blom",/icrat/seminarContent/pdf/Stochastically.pdf,,Safety and Security
59,A quantitative Safety Assessment Tool based on Aircraft Actual Navigation Performance,"Markus Vogel, Christoph Thiel and Hartmut Fricke",/icrat/seminarContent/pdf/Safety Assessment.pdf,,Safety and Security
60,Study of safety validation needs and approaches implied by SESAR,"Jelmer J. Scholte, Henk A.P. Blom and Alberto Pasquini",/icrat/seminarContent/pdf/safety validation.pdf,*,Safety and Security
61,Collision risk on final approach - a radar data based evaluation method to assess safety,Christoph Thiel and Hartmut Fricke,/icrat/seminarContent/pdf/Collision risk.pdf,,Safety and Security
62,Comparison of Arrival Tracks at Different Airports,Yimin Zhang and John Shortle,/icrat/seminarContent/pdf/Arrival Tracks.pdf,,Safety and Security
63,Stochastic validation of ATM procedures by abstraction algorithms,"Maria D. Di Benedetto, G. Di Matteo and A. D'Innocenzo",/icrat/seminarContent/pdf/ATM procedures.pdf,,Safety and Security
