,title,authors,paper
30,Route Preliminary Demand Forecast Model,Nicolaas H. Elferink and Stefaan S. Ghijs,/icrat/seminarContent/2008/Route_Preliminary_Demand.pdf
31,An Infovis approach to compare ATC comets,"Christophe Hurter, Vincent Kapp and Stephane Conversy",/icrat/seminarContent/2008/An_Infovis_approach.pdf
32,Functional Analysis of Human-Human  Interactions during Collaborative Decision  Making in Flight Operation,"Matthias Groppe, Marc Bui and Romano Pagliari",/icrat/seminarContent/2008/Functional_Analysis_of_Human-Human.pdf
33,Responding to Uncertainty on Approach in  Hazardous Situations,"Ronish T. Joyekurun, William Wong and      Paola Amaldi",/icrat/seminarContent/2008/Responding_to_Uncertainty.pdf
34,Automation for Task Aanlysis of Next  Generation Air Traffic Management  Systems,"Maricel Medina, Lance Sherry and Michael Feary",/icrat/seminarContent/2008/AUTOMATION_FOR_TASK_ANALYSIS.pdf
35,Human-Centred Innovation:  Developing 3D-in-2D Displays for ATC,"B.L. William Wong, Simone Rozzi, Stephen Gaukrodger, Alessandro Boccalatte, Paola Amaldi, Bob Fields, Martin Loomes and Peter Martin",/icrat/seminarContent/2008/Human-Centred_Innovation.pdf
36,Embedded eye tracker in a real aircraft: new  perspectives on pilot/aircraft interaction monitoring,"Frederic Dehais, Mickael Causse and Josette Pastor",/icrat/seminarContent/2008/Embedded_eye_tracker.pdf
37,Visual Cognition Abilities in X-Ray Screening,Diana Hardmeier and Adrian Schwaninger,/icrat/seminarContent/2008/Visual_Cognition_Abilities.pdf
38,The Impact of Image Based Factors and Training on  Threat Detection Performance in X-ray Screening,"Adrian Schwaninger, Anton Bolfing, Tobias Halbherr, Shaun Helman, Andrew Belyavin and Lawrence Hay",/icrat/seminarContent/2008/The_Impact_of_Image.pdf
39,Comparison of Data Envelopment Analysis Methods  Used in Airport Benchmarking,David Schaar and Lance Sherry,/icrat/seminarContent/2008/Comparison_of_Data_Envelopment.pdf
40,Improving Aircraft Turn Around Reliability,Hartmut Fricke and Michael Schultz,/icrat/seminarContent/2008/Improving_Aircraft_Turn_Around_Reliability.pdf
41,Runways sequences and ground traffic optimisation,"Raphael Deau, Jean-Baptiste Gotteland and Nicolas Durand",/icrat/seminarContent/2008/Runways_sequences.pdf
42,Accuracy of Reinforcement Learning Algorithms for  Predicting Aircraft Taxi-out Times,"Poornima Balakrishna, Rajesh Ganesan and Lance Sherry",/icrat/seminarContent/2008/Accuracy_of_Reinforcement.pdf
43,"Research of the relation between the sustainability of  hourly capacity at Schiphol airport, KLM arrival  punctuality and the percentage of KLM transfer  passengers at risk of loosing their connection",Dragana Mijatovic and Marleen Meert,/icrat/seminarContent/2008/Research_of_the_relation.pdf
44,A Preliminary Evaluation of Potential Cargo Demand  for Very Light Jets,Yue Xu and Antonio A. Trani,/icrat/seminarContent/2008/Preliminary_Evaluation.pdf
45,Untapped potential of on-board advertising,"Benedikt Badanik, Hitham Fakih, and Milan Stefanik",/icrat/seminarContent/2008/on-board_advertising.pdf
46,Pricing schemes based on air navigation service  charges to reduce en-route ATFM delays,Andrea Ranieri and Lorenzo Castelli,/icrat/seminarContent/2008/Pricing_schemes.pdf
47,Estimation of Aviation Infrastructure Condition from  a Biased Sample,"Gautam Gupta, Jasenka Rakas and Mark Hansen",/icrat/seminarContent/2008/Estimation_of_Aviation_Infrastructure.pdf
48,On the Use of Near Field Computational Fluid  Dynamics for Improving Airport Related Dispersion  Models,Syoginus S. Aloysius and Luiz C. Wrobel,/icrat/seminarContent/2008/Near_Field_Computational_Fluid_Dynamics.pdf
49,Optimal departure aircraft trajectories minimising  population annoyance,"Xavier Prats, Vicenc Puig, Joseba Quevedo and Fatiha Nejjari",/icrat/seminarContent/2008/Optimal_departure_aircraft_trajectories.pdf
50,An Artificial Intelligence Approach to Operational  Aviation Turbulence Forecasting,"Jennifer Abernethy, Robert Sharman and Elizabeth Bradley",/icrat/seminarContent/2008/Artificial_Intelligence_Approach.pdf
51,An Environmental Airport ATM Modelling Support  Tool and its use in Stacking and CDA Scenarios,Alexander Goman and David Atkins,/icrat/seminarContent/2008/Environmental_Airport_ATM.pdf
52,"Analysis of Emissions Inventory for  ""Single-Engine Taxi-Out"" operations","Vivek Kumar, Lance Sherry and Terrence Thompson",/icrat/seminarContent/2008/ANALYSIS_OF_EMISSIONS_INVENTORY.pdf
53,On the Use of Visualization Tools to Present  Complex Simulated Environmental Data for Policy  Making,"Daniel Pearce, Luiz Wrobel, Ian Fulle",/icrat/seminarContent/2008/Use_of_Visualization_Tools.pdf
54,"Peak oil, fuel costs and the future of aviation",Richard Klophaus,/icrat/seminarContent/2008/Peak_oil_fuel_costs.pdf
55,Analysis of Air Transportation for the New York  Metroplex: Summer 2007,"Liya Wang, George Donohue, Karla Hoffman, Lance Sherry and Rosa Oseguera-Lohr",/icrat/seminarContent/2008/Analysis_of_Air_Transportation.pdf
56,Demand for Low-Cost Airlines in Australia,"Panarat Srisaeng, Cees Bil, Margaret Tein",/icrat/seminarContent/2008/Demand_for_Low-Cost_Airlines_in_Australia.pdf
57,Information Design for Collaboration in Distributed  Team Work,"Simone Rozzi, Paola Amaldi and Bob Fields",/icrat/seminarContent/2008/Information_Design.pdf
58,Optimising the Predictability and Flexibility of  Dynamic System: Case of 4D Aircraft Trajectory of  Air Traffic Management,Trung-Tuyen Hoang,/icrat/seminarContent/2008/Optimising_the_Predictability.pdf
59,The Integrator Market,Evy Onghena,/icrat/seminarContent/2008/The_Integrator_Market.pdf
60,A Construction Rationale to Tailor Crew Resource  Management Training to Target Audiences,"Vera Hagemann, Sandrina Ritzmann and Annette Kluge",/icrat/seminarContent/2008/A_Construction_Rationale.pdf
61,Technology Assessment and Prioritization for Small  and Medium Airports: A Methodological Approach,"Olivia J. Pinon, Dimitri Mavris and Elena Garcia",/icrat/seminarContent/2008/Technology_Assessment.pdf
62,Evaluating aeronautical regulations using rigorous  specifications,Eduardo Rafael Lopez Ruiz,/icrat/seminarContent/2008/Evaluating_aeronautical_regulations.pdf
