id,authors,title,paper,presentation_ext,presentation,Track,theme,best
44,"Sasha Vlaskin, Emmanuel Sunil, Joost Ellerbroek, Jacco Hoekstra and Dennis Nieuwenhuisen",Autonomous Separation Management System for Drones Through Optimal Layer Interactions,/seminarContent/2024/papers/ICRAT2024_paper_44.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_44.pptx,ICRAT2024 DS,Doctoral Symposium,
46,"Nhat-Hoang P. Nguyen, Duc-Thinh Pham and Vu Duong",Hierarchical Multi-agent Distributed Method for Automated Slot Allocation in Virtual Centralized ATFM,/seminarContent/2024/papers/ICRAT2024_paper_46.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_46.pptx,ICRAT2024 DS,Doctoral Symposium,
47,"Sinan Abdulhak, Wayne Hubbard, Karthik Gopalakrishnan and Max Li",ChatATC: Large Language Model-Driven Conversational Agents for Supporting Strategic Air Traffic Flow Management,/seminarContent/2024/papers/ICRAT2024_paper_47.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_47.pptx,ICRAT2024,Human Performance,*
51,"Santiago Rodriguez, Daniel Delahaye and Rodrigo Ventura",Crossing Waypoint Optimization in Free Route Airspace,/seminarContent/2024/papers/ICRAT2024_paper_51.pdf,,,ICRAT2024,Trajectories and Networks,
52,"Thomas Zeh, Judith Rosenow, Martin Lindner, Stanley Förster and Hartmut Fricke",Trajectory and Airspace Optimization Depending on Controller Task Load,/seminarContent/2024/papers/ICRAT2024_paper_52.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_52.pdf,ICRAT2024,Trajectories and Networks,
53,"Petar Andraši, Tomislav Radišić, Kristina Samardžić and Doris Novak",Air Traffic Complexity Hotspot Detection in Uncertain Adverse Weather Scenarios,/seminarContent/2024/papers/ICRAT2024_paper_53.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_53.pptx,ICRAT2024,Safety and Complexity,
55,"Anahita Jain, Husni Idris and John-Paul Clarke",Impact of Traffic-Following on Order of Autonomous Airspace Operations,/seminarContent/2024/papers/ICRAT2024_paper_55.pdf,,,ICRAT2024,System Performance,
56,"Martin Schlosser, Hannes Braßel and Hartmut Fricke",Analysis of Aircraft Ground Trajectories: Map-Matching with Open Source Data for Modeling Safety-Driven Applications,/seminarContent/2024/papers/ICRAT2024_paper_56.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_56.pdf,ICRAT2024,Safety and Complexity,
58,Sungju Maeng and Makoto Itoh,A Study on Communication Modality in UATM System Discussions and suggestions from analyzing teamwork in ATM and UTM,/seminarContent/2024/papers/ICRAT2024_paper_58.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_58.pptx,ICRAT2024 DS,Doctoral Symposium,
61,"Banishree Ghosh, Yixiang Lim, Timothy Tay, Sheng Zhang and Jaya Shankar Pathmasuntharam",A Physical Aircraft-Following Model for Aerodrome Modelling and Simulation,/seminarContent/2024/papers/ICRAT2024_paper_61.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_61.pdf,ICRAT2024,Advanced Modeling,*
62,"Zhihan Xu, Ziming Wang, Yanjun Wang and Daniel Delahaye",Flow based spatio-temporal graph network model for predicting airport network delays,/seminarContent/2024/papers/ICRAT2024_paper_62.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_62.pptx,ICRAT2024,System Performance,
63,"Finn Sutherland, Matthew Marino, Simon Watkins and Abdulghani Mohamed",The Role of Vertiport Design for a Safe Wind Field for AAM Operations,/seminarContent/2024/papers/ICRAT2024_paper_63.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_63.pptx,ICRAT2024 DS,Doctoral Symposium,
64,Wayne Ng and Nuno Antunes Ribeiro,A Modeling Framework for Rapid Assessment of Terminal Airspace Configurations  and Planning Scenarios,/seminarContent/2024/papers/ICRAT2024_paper_64.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_64.pdf,ICRAT2024,System Performance,
65,"Ziming Wang, Yanjun Wang and Mark Hansen",Trajectory Clustering in a Multi-Airport System: A Deep Clustering with Generative Approach,/seminarContent/2024/papers/ICRAT2024_paper_65.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_65.pptx,ICRAT2024 DS,Doctoral Symposium,
66,Nutchanon Suvittawat and Nuno Antunes Ribeiro,Aircraft Surface Defect Inspection System Using AI with UAVs,/seminarContent/2024/papers/ICRAT2024_paper_66.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_66.pdf,ICRAT2024 DS,Doctoral Symposium,
67,Stanley Förster and Hartmut Fricke,A Systematic Literature Review on Complexity--Safety Correlation Models Towards Safety-Conscious Arrival Management,/seminarContent/2024/papers/ICRAT2024_paper_67.pdf,,,ICRAT2024,Safety and Complexity,
68,Seonho Kim and Jongho Hong,Flight delay time and costs from extreme weather,/seminarContent/2024/papers/ICRAT2024_paper_68.pdf,,,ICRAT2024 DS,Doctoral Symposium,
69,Pablo Gascó and Ramon Dalmau,A Comprehensive Evaluation of Data Drift Metrics for Air Transportation Applications,/seminarContent/2024/papers/ICRAT2024_paper_69.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_69.pptx,ICRAT2024,Safety and Complexity,
70,"Kevin Zimmer, Hamsa Balakrishnan and Amedeo Odoni",Improving Robustness through Buffer Placement in the Gate Assignment Problem: An Empirical Approach,/seminarContent/2024/papers/ICRAT2024_paper_70.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_70.pdf,ICRAT2024,Advanced Modeling,
71,Anh Nguyen-Duy and Duc-Thinh Pham,Multi-Agent Reinforcement Learning for Multi-Airport Slot Scheduling,/seminarContent/2024/papers/ICRAT2024_paper_71.pdf,,,ICRAT2024 DS,Doctoral Symposium,
72,Krishna Kalyanam and Kanvasi Tejasen,Applying Machine Learning Tools for Runway Configuration Decision Support,/seminarContent/2024/papers/ICRAT2024_paper_72.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_72.pdf,ICRAT2024,System Performance,*
73,Zhi Jun Lim and Sameer Alam,Optimizing Terminal Maneuvering Area Operations: A Comprehensive Study with a Focus on Extended Arrival Manager and Multi-Agent Negotiation Framework,/seminarContent/2024/papers/ICRAT2024_paper_73.pdf,,,ICRAT2024 DS,Doctoral Symposium,
74,"Hasnain Ali, Duc-Thinh Pham and Sameer Alam",Reduced Taxi Delays with Intelligent Departure Metering Advisory Tool (I-MATE): Insights from Air Traffic Controller Validation Experiments,/seminarContent/2024/papers/ICRAT2024_paper_74.pdf,,,ICRAT2024,System Performance,
75,"Esther Roosenbrand, Junzi Sun and Jacco Hoekstra",Flight Optimization for Contrails and Emissions: A Large-Scale Trade-off Analysis Using Open Data and Models,/seminarContent/2024/papers/ICRAT2024_paper_75.pdf,,,ICRAT2024,"Economics, Environment, and Information",
76,"Wei Zhou, Zhengyi Wang, Imen Dhief and Sameer Alam",A Reinforcement Learning Approach for Flight Re-routing in Space launch Failure Scenarios with Dynamic Debris Hazards,/seminarContent/2024/papers/ICRAT2024_paper_76.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_76.pdf,ICRAT2024,UAS/UAM/Space,
78,"Yash Guleria, Duc-Thinh Pham and Sameer Alam",Advancing Beyond Conformal Conflict Resolution in Air Traffic Control: Balancing Efficiency and Conformance,/seminarContent/2024/papers/ICRAT2024_paper_78.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_78.pdf,ICRAT2024,Safety and Complexity,
79,Stanley Förster and Hartmut Fricke,Probabilistic Prediction of Estimated Time of Arrival - Identifying Sources of Variance and Out-of-Sample Issues,/seminarContent/2024/papers/ICRAT2024_paper_79.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_79.pdf,ICRAT2024,Advanced Modeling,
80,"Judith Rosenow, Hartmut Fricke and Markus Vogel",Integrated CO2 Emission and Contrail Formation climate effect Benchmarking,/seminarContent/2024/papers/ICRAT2024_paper_80.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_80.pdf,ICRAT2024,"Economics, Environment, and Information",
82,"Zhuoxuan Cao, Aaron Webb, David Lovell and Seth Young",A comparative Analysis of Departure Runway Occupancy Time by Aircraft Type and Flight Mission,/seminarContent/2024/papers/ICRAT2024_paper_82.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_82.pptx,ICRAT2024 DS,Doctoral Symposium,
83,"Jan van Doorn, Junzi Sun, Jacco Hoekstra, Patrick Jonk and Vincent de Vries",Whisper-ATC: Open Models for Air Traffic Control Automatic Speech Recognition with Accuracy,/seminarContent/2024/papers/ICRAT2024_paper_83.pdf,pptx,/seminarContent/2024/presentations/ICRAT2024_Presentation_83.pptx,ICRAT2024,Human Performance,
84,"Junzi Sun, Esther Roosenbrand, Yuki Nonaka and Eri Itoh",Contrail Formation and Mitigation in the Japanese Airspace: A Data-Driven Study,/seminarContent/2024/papers/ICRAT2024_paper_84.pdf,,,ICRAT2024,"Economics, Environment, and Information",
87,"Reinier Vos, Junzi Sun and Jacco Hoekstra",A Transformer-based Trajectory Prediction Model to Support Air Traffic Demand Forecasting,/seminarContent/2024/papers/ICRAT2024_paper_87.pdf,pdf,,ICRAT2024,Advanced Modeling,
88,"Ashton Low Kin Yun, Nimrod Lilith, Sameer Alam and Leston Poh Choo Kiat",Deep Neural Network-Based Automatic Speech Recognition for ATC-Pilot Audio Transcription,/seminarContent/2024/papers/ICRAT2024_paper_88.pdf,,,ICRAT2024,Human Performance,
91,"Emin Burak Onat, Shangqing Cao, Raiyan Rizwan, Xuan Jiang, Mark Hansen, Raja Sengupta and Anjan Chakrabarty",A Simulation-Optimization Framework for Developing Wind-Resilient AAM Networks,/seminarContent/2024/papers/ICRAT2024_paper_91.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_91.pdf,ICRAT2024,Trajectories and Networks,*
92,"Shangqing Cao, Xuan Jiang, Emin Burak Onat, Mark Hansen, Raja Sengupta, Bo Zou and Anjan Chakrabarty",Fleet Size and Spill for UAM Operation under Uncertain Demand,/seminarContent/2024/papers/ICRAT2024_paper_92.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_92.pdf,ICRAT2024,UAS/UAM/Space,
93,"Ramon Dalmau, Chunyao Ma and Sameer Alam",Mastering the Management of the Vertical Flight Profile with Reinforcement Learning,/seminarContent/2024/papers/ICRAT2024_paper_93.pdf,,,ICRAT2024,Trajectories and Networks,
94,Barrett Campbell,Optimizing Aeromedical Clinical Decision Support Systems through Framework Development,/seminarContent/2024/papers/ICRAT2024_paper_94.pdf,,,ICRAT2024 DS,Doctoral Symposium,
95,Yati Liu and Mark Hansen,How to Promote Short-Term Aviation Decarbonization: A Policy Scenario Model for Sustainable Aviation Fuel in California,/seminarContent/2024/papers/ICRAT2024_paper_95.pdf,,,ICRAT2024,"Economics, Environment, and Information",
97,"Kaijing Ding, Ke Liu, Lu Dai and Mark Hansen",Real-Time Go-Around Prediction: A case study of JFK airport,/seminarContent/2024/papers/ICRAT2024_paper_97.pdf,,,ICRAT2024,Safety and Complexity,
99,Victor Qin and Hamsa Balakrishnan,Modeling Competition Between Service Providers in Advanced Air Mobility,/seminarContent/2024/papers/ICRAT2024_paper_99.pdf,pdf,/seminarContent/2024/presentations/ICRAT2024_Presentation_99.pdf,ICRAT2024,"Economics, Environment, and Information",*
