,title,authors,paper,presentation,best,theme
33,A Numerical Framework and Benchmark Case study for Muti-modal Fuel Efficient Aircraft Conflict Avoidance,Manuel Soler,/icrat/seminarContent/Author/ManuelSoler818/605-cfp-Soler.pdf,/icrat/seminarContent/Author/ManuelSoler818/PRESENTATION-608-cfp-Soler.pdf,,Trajectory optimization and trajectory and separation management
34,Analysis of Transferring Air Traffic from Radar to Non-Radar Airspaces,Emre AYDOGAN,/icrat/seminarContent/Author/EmreAYDOGAN5592/608-cfp-AYDOGAN.pdf,,,Advanced Modeling and design
35,Optimal Metering Policies for Optimized Profile Descent Operations at Airports,Heng Chen,/icrat/seminarContent/Author/HengChen486/611-cfp-Chen.pdf,/icrat/seminarContent/Author/HengChen486/PRESENTATION-612-cfp-Chen.pdf,,"Airport design, management and operations"
36,Eye-data metrics to characterize tower controllers' visual attention in a Multipe Remote Tower Exercise,Christoph Moehlenbrink,/icrat/seminarContent/Author/ChristophMoehlenbrink137/612-cfp-Moehlenbrink.pdf,,,"Safety, security and human performance"
37,Display of Trajectory Predictions Using Uncertainty Visualization Methods,Giuseppe Frau,/icrat/seminarContent/Author/GiuseppeFrau814/613-cfp-Frau.pdf,/icrat/seminarContent/Author/GiuseppeFrau814/PRESENTATION-614-cfp-Frau.pdf,,"Decision support systems, automation and human machine collaboration"
38,Agent-based simulation framework for airport collaborative decision making,Ivan Garcia Vasco,/icrat/seminarContent/Author/IvanGarcia Vasco539/614-cfp-Garcia Vasco.pdf,/icrat/seminarContent/Author/IvanGarcia Vasco539/PRESENTATION-615-cfp-Garcia Vasco.pdf,,"Airport design, management and operations"
39,data-driven modelling of the Tree of Reactionary Delays,Izaro Etxebarria,/icrat/seminarContent/Author/IzaroEtxebarria458/615-cfp-Etxebarria.pdf,,,Air transportation system performance measurement and management
40,Influence of Airport Operations Management on Traffic Complexity and Efficiency,Tatjana Krstic Simic,/icrat/seminarContent/Author/TatjanaKrstic Simic857/617-cfp-Krstic Simic.pdf,/icrat/seminarContent/Author/TatjanaKrstic Simic857/PRESENTATION-618-cfp-Krstic Simic.pdf,,"Airport design, management and operations"
41,Strategic Conformance: An Important Concept  In Future Automation Design?,Brian Hilburn,/icrat/seminarContent/Author/BrianHilburn58/618-cfp-Hilburn.pdf,,*,"Decision support systems, automation and human machine collaboration"
42,Assessing ATM performance interdependencies through Bayesian Networks,Andrea Ranieri,/icrat/seminarContent/Author/AndreaRanieri752/619-cfp-Ranieri.pdf,/icrat/seminarContent/Author/AndreaRanieri752/PRESENTATION-620-cfp-Ranieri.pdf,,Advanced Modeling and design
43,Analysis of the Impact of Intent Uncertainty on the Accuracy of Predicted Trajectories for Arrival Management Automation,enrique casado,/icrat/seminarContent/Author/enriquecasado139/621-cfp-casado.pdf,,,"Decision support systems, automation and human machine collaboration"
44,Hybrid Modelling and Automation of Air Traffic Controller Decision Process : Separation Assurance,Baris Baspinar,/icrat/seminarContent/Author/BarisBaspinar12/622-cfp-Baspinar.pdf,/icrat/seminarContent/Author/BarisBaspinar12/PRESENTATION-623-cfp-Baspinar.pdf,,Automation strategies and application of successful automation techniques
45,Uncertainty Assessment for ETA prediction towards 4D Trajectory Operation,Alexander Schwithal,/icrat/seminarContent/Author/AlexanderSchwithal662/623-cfp-Schwithal.pdf,/icrat/seminarContent/Author/AlexanderSchwithal662/PRESENTATION-624-cfp-Schwithal.pdf,,Trajectory optimization and trajectory and separation management
46,Impact of trajectory restrictions onto fuel and time-related cost efficiency,Thomas Günther,/icrat/seminarContent/Author/ThomasGunther381/625-cfp-Gunther.pdf,/icrat/seminarContent/Author/ThomasGunther381/PRESENTATION-626-cfp-Gunther.pdf,*,Air transportation system performance measurement and management
47,Principles for Increased Resilience in Critical Networked Infrastructures,Kyle White,/icrat/seminarContent/Author/KyleWhite57/626-cfp-White.pdf,,,"Information management, enhanced communication, surveillance and navigation"
48,A Dynamic Bayesian Belief Network Approach for Modelling the ATM Network Delays,Yigit Kaya,/icrat/seminarContent/Author/YigitKaya193/628-cfp-Kaya.pdf,/icrat/seminarContent/Author/YigitKaya193/PRESENTATION-629-cfp-Kaya.pdf,,Socio-technical complexity and applications of data science
49,A linear programming approach to maximum flow estimation on the European air traffic network,Kuang-Chang Pien,/icrat/seminarContent/Author/Kuang-ChangPien169/629-cfp-Pien.pdf,/icrat/seminarContent/Author/Kuang-ChangPien169/PRESENTATION-630-cfp-Pien.pdf,,"Network management, and traffic flow optimization"
50,Case study: Analyzing influences on traffic scenario difficulties for human-in-the-loop simulations,Nancy Bienert,/icrat/seminarContent/Author/NancyBienert529/630-cfp-Bienert.pdf,,*,"Decision support systems, automation and human machine collaboration"
51,Incident Analysis of Airspace Infringements in the European airspace,Elena&nbsnbspPsyllou,/icrat/seminarContent/Author/ElenaPsyllou317/631-cfp-Psyllou.pdf,/icrat/seminarContent/Author/ElenaPsyllou317/PRESENTATION-632-cfp-Psyllou.pdf,,"Safety, security and human performance"
52,Method for the Improvement of Aircraft Trajectory Simulation using Analysis of Variability,George Koudis,/icrat/seminarContent/Author/GeorgeKoudis770/633-cfp-Koudis.pdf,/icrat/seminarContent/Author/GeorgeKoudis770/PRESENTATION-634-cfp-Koudis.pdf,,"Environment and energy efficiency, climate change and impact"
53,The Automatic Identification of Unstable Approaches from Flight Data,Robert de Boer,/icrat/seminarContent/Author/Robertde Boer118/635-cfp-de Boer.pdf,/icrat/seminarContent/Author/Robertde Boer118/PRESENTATION-636-cfp-de Boer.pdf,,"Safety, security and human performance"
54,Flight Crew Assistance Functionality Concept for Commercial Aircraft,Keyvan Bayram,/icrat/seminarContent/Author/KeyvanBayram36/636-cfp-Bayram.pdf,,,"Decision support systems, automation and human machine collaboration"
55,Turnaround prediction concept: proofing and control options by microsocopic process modelling,Bernd Oreschko,/icrat/seminarContent/Author/BerndOreschko512/637-cfp-Oreschko.pdf,/icrat/seminarContent/Author/BerndOreschko512/PRESENTATION-638-cfp-Oreschko.pdf,*,"Airport design, management and operations"
56,LiDAR Performance Requirements and Optimized Sensor Positioning for Point Cloud-based  Risk Mitigation at Airport Aprons,Johannes Mund,/icrat/seminarContent/Author/JohannesMund6/638-cfp-Mund.pdf,/icrat/seminarContent/Author/JohannesMund6/PRESENTATION-639-cfp-Mund.pdf,,Automation strategies and application of successful automation techniques
57,Integrated Flight Deck Testbed with Next Generation Visual Decision Support Tools,Emre KOYUNCU,/icrat/seminarContent/Author/EmreKOYUNCU277/639-cfp-KOYUNCU.pdf,/icrat/seminarContent/Author/EmreKOYUNCU277/PRESENTATION-640-cfp-KOYUNCU.pdf,,"Decision support systems, automation and human machine collaboration"
58,TPAS: Test-bed Platform for ATM Studies,Sergio Ruiz,/icrat/seminarContent/Author/SergioRuiz300/640-cfp-Ruiz.pdf,/icrat/seminarContent/Author/SergioRuiz300/PRESENTATION-641-cfp-Ruiz.pdf,,"Decision support systems, automation and human machine collaboration"
59,Analysis of Aircraft Fuel Burn and Emissions in the Landing and Take Off Cycle using Operational Data,Yashovardhan Sushil Chati,/icrat/seminarContent/Author/Yashovardhan SushilChati842/641-cfp-Chati.pdf,/icrat/seminarContent/Author/Yashovardhan SushilChati842/PRESENTATION-642-cfp-Chati.pdf,,"Environment and energy efficiency, climate change and impact"
60,Evaluation of a display for airborne separation in safety-critical situations,Marcus Arenius,/icrat/seminarContent/Author/MarcusArenius693/652-cfp-Arenius.pdf,/icrat/seminarContent/Author/MarcusArenius693/PRESENTATION-653-cfp-Arenius.pdf,,"Decision support systems, automation and human machine collaboration"
61,Evaluating the Efficiency of Functional Airspace Blocks,Paula MARK,/icrat/seminarContent/Author/PaulaMARK550/644-cfp-MARK.pdf,,,Socio-technical complexity and applications of data science
62,The Impact of Block Time Reliability on Scheduled Block Time Setting,Lu Hao,/icrat/seminarContent/Author/LuHao547/645-cfp-Hao.pdf,/icrat/seminarContent/Author/LuHao547/PRESENTATION-646-cfp-Hao.pdf,,Airline operations and quality of service
63,The Potential of Turboprops to Reduce Fuel Consumption in the Chinese Aviation System,Megan Ryerson,/icrat/seminarContent/Author/MeganRyerson625/646-cfp-Ryerson.pdf,/icrat/seminarContent/Author/MeganRyerson625/PRESENTATION-646-cfp-Ryerson.pdf,,"Air transportation governance, economics and policy"
64,An Equitable Approach for Tranfering Terminal Delay with En Route Speed Control,James Jones,/icrat/seminarContent/Author/JamesJones993/647-cfp-Jones.pdf,,*,"Network management, and traffic flow optimization"
65,Exchanging values of unsold seats with airline alliance partners in a competitive environment,Alyona Michel,/icrat/seminarContent/Author/AlyonaMichel444/648-cfp-Michel.pdf,,*,"Air transportation governance, economics and policy"
66,Real-Time Integrated Airport Surface Operations Management,Yu Zhang,/icrat/seminarContent/Author/YuZhang935/649-cfp-Zhang.pdf,,,"Network management, and traffic flow optimization"
67,Assessing Terminal Weather Forecast Similarity for Strategic Air Traffic Management,Yi Liu,/icrat/seminarContent/Author/yiliu978/650-cfp-Liu.pdf,,,Advanced Modeling and design
